단어,읽기(히라가나),뜻(한국어),암기상태,한자,난이도
珍しい,めずらしい,"드문, 특이한",,珍,N5-N4
塩,しお,소금,,塩,N5-N4
本日,ほんじつ,오늘,,本 日,
一緒に,いっしょに,함께,,一 緒,
散歩,さんぽ,산책,,散 歩,
ついに,ついに,마침내,,,
来る,くる,오다,,来,
知る,しる,알다,,知,
結構,けっこう,꽤,,結 構,
有名,ゆうめい,유명,,有 名,
観光地,かんこうち,관광지,,観 光 地,
海外,かいがい,해외,,海 外,
方,かた,~분/사람을 높여 부름,,方,
にも,にも,~에도,,,
何,なに,무엇,,何,
古い,ふるい,낡은,,古,
建物,たてもの,건물,,建 物,
いっぱい,いっぱい,가득,,,
ある,ある,(사물)이 있다,,,
たくさん,たくさん,많이,,,
やっぱり,やっぱり,역시,,,
比較的,ひかくてき,비교적,,比 較 的,
近い,ちかい,가까운,,近,
見る,みる,보다,,見,
場所,ばしょ,장소,,場 所,
多分,たぶん,아마도,,多 分,
超,ちょう,엄청,,超,
聞く,きく,듣다,,聞,
多い,おおい,많다,,多,
思う,おもう,생각하다,,思,
午前,ごぜん,오전,,午 前,
早い,はやい,빠르다,,早,
時間,じかん,시간,,時 間,
時間帯,じかんたい,시간대,,時 間 帯,
住む,すむ,살다,,住,
今,いま,지금,,今,
ちょっと,ちょっと,조금,,,
遠い,とおい,멀다,,遠,
朝,あさ,아침,,朝,
